iter	Logloss
0	0.6762548108
1	0.6625948458
2	0.6489001714
3	0.6361806016
4	0.6217063206
5	0.6064443858
6	0.5979206698
7	0.5847254183
8	0.5664830525
9	0.5602904165
10	0.5512853442
11	0.5412231747
12	0.530620044
13	0.5205546506
14	0.5100194216
15	0.5023319355
16	0.4938409319
17	0.4847094374
18	0.4765845196
19	0.4715057954
20	0.4650289823
21	0.4557450598
22	0.4460246545
23	0.4384647034
24	0.4334279752
25	0.4262326688
26	0.4166732057
27	0.4107456486
28	0.4054903605
29	0.4025276754
30	0.3937344013
31	0.3878773467
32	0.38452391
33	0.3784077732
34	0.3732008269
35	0.3676896051
36	0.3639137415
37	0.3608250334
38	0.3563655102
39	0.351686251
40	0.3487276349
41	0.3455202904
42	0.3417645906
43	0.3364770628
44	0.3330874181
45	0.326225167
46	0.3217901424
47	0.317317838
48	0.3144346471
49	0.3125434991
50	0.3071803482
51	0.3014717702
52	0.2987864442
53	0.2946182818
54	0.2926156474
55	0.2904997925
56	0.2857745635
57	0.2831737374
58	0.281467308
59	0.2764053163
60	0.273064278
61	0.271009363
62	0.2696156878
63	0.2665452218
64	0.2623099873
65	0.2592561508
66	0.2560924111
67	0.2529652524
68	0.2497324874
69	0.2479881263
70	0.2459529711
71	0.2436307385
72	0.2390505641
73	0.2367589407
74	0.2350438106
75	0.2321550324
76	0.2302680914
77	0.2286349204
78	0.2271747467
79	0.2261128864
80	0.2230014468
81	0.2210910266
82	0.2184009173
83	0.2159244626
84	0.2129235476
85	0.2096860584
86	0.2075698187
87	0.2043986674
88	0.2018477739
89	0.1990987421
90	0.1973959085
91	0.1956573484
92	0.1938019528
93	0.1912022171
94	0.1892380589
95	0.1882204171
96	0.1865051144
97	0.1849272346
98	0.1838300813
99	0.1804781818
100	0.1789860225
101	0.1747145005
102	0.1730606673
103	0.1712930986
104	0.1688305711
105	0.166092338
106	0.1643136859
107	0.1632578874
108	0.1612389155
109	0.1608117517
110	0.1591439873
111	0.1574973038
112	0.1563322151
113	0.1557822054
114	0.1545633126
115	0.153349204
116	0.1519567238
117	0.1505215528
118	0.1486263338
119	0.1477495918
120	0.1465187823
121	0.1455148463
122	0.1452194903
123	0.1442564327
124	0.1423994978
125	0.1402595628
126	0.1393198276
127	0.1369566949
128	0.1353068748
129	0.1340281331
130	0.1329645655
131	0.13202513
132	0.1311930048
133	0.1299740716
134	0.1283652208
135	0.1270396969
136	0.125515789
137	0.124920625
138	0.1242432264
139	0.1227202824
140	0.12190298
141	0.120482845
142	0.1193427663
143	0.1182154836
144	0.1169993185
145	0.1154858058
146	0.1137968657
147	0.1121935864
148	0.1104868456
149	0.1088327126
150	0.1079042473
151	0.1068040115
152	0.1060477473
153	0.105199247
154	0.1041177915
155	0.1028937332
156	0.1017235666
157	0.1003775666
158	0.09912356341
159	0.09818595714
160	0.0968919993
161	0.0958615993
162	0.09488435168
163	0.09375092444
164	0.09244270325
165	0.09161973091
166	0.09038367047
167	0.08985330776
168	0.08924207758
169	0.08840533651
170	0.08788625977
171	0.08638248331
172	0.08528820011
173	0.08440659328
174	0.08334642732
175	0.08253136353
176	0.08097537831
177	0.07975003257
178	0.07889059237
179	0.07780347997
180	0.07718357736
181	0.07652781028
182	0.07567288688
183	0.07473216559
184	0.07404984848
185	0.07252050181
186	0.07139233377
187	0.07084692488
188	0.06993593303
189	0.06916718644
190	0.06815123485
191	0.0675503081
192	0.06701944744
193	0.06616089287
194	0.06542254592
195	0.06519069118
196	0.06448533284
197	0.06408967749
198	0.06337277918
199	0.06271595219
200	0.06197838554
201	0.06112181531
202	0.06044601331
203	0.05991333193
204	0.05897970108
205	0.05841621861
206	0.05795276012
207	0.05729701082
208	0.05637056277
209	0.05588570477
210	0.05541841213
211	0.0544810627
212	0.05387234319
213	0.05319423372
214	0.05272680662
215	0.05226063374
216	0.05200450751
217	0.05153680947
218	0.05107764394
219	0.0503774798
220	0.04984664772
221	0.04920964046
222	0.0487202398
223	0.04778434396
224	0.04745354398
225	0.04712591499
226	0.04643302029
227	0.04581686635
228	0.0453262931
229	0.04497454787
230	0.04418752352
231	0.04369564016
232	0.04305042819
233	0.04252854263
234	0.04198284833
235	0.04171716447
236	0.04125781163
237	0.04078296246
238	0.04017065366
239	0.03974090087
240	0.03942277655
241	0.03915023498
242	0.03888946402
243	0.03861488572
244	0.03827450732
245	0.03784077994
246	0.0375131603
247	0.03716960212
248	0.03697954291
249	0.03644402054
250	0.03615229051
251	0.03578389207
252	0.03527301645
253	0.03493775563
254	0.03459670802
255	0.03436667835
256	0.03418501905
257	0.03393519029
258	0.03368009476
259	0.03347538454
260	0.03309642807
261	0.03285849184
262	0.03243211246
263	0.03210198305
264	0.03178269708
265	0.03160581109
266	0.03137520304
267	0.03111424526
268	0.0308061457
269	0.03054890875
270	0.03022578899
271	0.03002053702
272	0.02962987809
273	0.02937141226
274	0.02918874693
275	0.02871680581
276	0.02831271703
277	0.02790707539
278	0.02769928657
279	0.02747789904
280	0.02713986187
281	0.02697152222
282	0.02669325424
283	0.02644961824
284	0.02633800167
285	0.02608305273
286	0.02591108715
287	0.02572426854
288	0.02556696391
289	0.02534583334
290	0.02523104281
291	0.02488190034
292	0.02467540018
293	0.02440091725
294	0.02423187524
295	0.02407633699
296	0.02384698991
297	0.02356400559
298	0.02343294607
299	0.02330904224
